,,4h,6h,12h,24h
Deepcrime,MacroF1,0.241454774,0.322756581,0.341539864,0.424919716
,MicroF1,0.243973709,0.383928571,0.395914502,0.548701299
Hagen,MacroF1,0.087299377,0.13270378,0.228768504,0.366712257
,MicroF1,0.09883933,0.151648258,0.250888833,0.396147316
AIST,MacroF1,-1,-1,-1,0.494511736
,MicroF1,-1,-1,-1,0.658627087
ST-HSL,MacroF1,0.129922053,0.233774,0.337258781,0.344893698
,MicroF1,0.155579895,0.315762,0.51181415,0.539876795
CF,MacroF1,0.1639328,0.213531866,0.302315576,0.383886087
,MicroF1,0.20155165,0.254541209,0.353667831,0.441360367
MIST,MacroF1,0.028515555,-1,0.057549173,0.020309924
,MicroF1,0.029539608,-1,0.058005516,0.019841605
